id,name,host_response_time,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,host_since_year,host_response_rate(%),host_acceptance_rate(%),host_lives_in_the_same_neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,number_of_reviews,instant_bookable
52351256,Oasis Haven,within an hour,True,2,True,True,2021,100.0,82.0,True,Mott Haven,Bronx,40.80869,-73.91969,Entire home/apt,4,1.0,2.0,2.0,125.0,30,1125,30,30,1125,1125,30.0,1125.0,6,False
785006965675640649,Large private suite with King Bed-1min to subway,within a day,False,3,True,True,2013,89.0,50.0,True,Elmhurst,Queens,40.7463725312,-73.8894934173,Private room,2,1.0,1.0,1.0,130.0,30,365,30,30,365,365,30.0,365.0,0,False
645088514323491657,"Spacious luxury stay in Queens, NY with Laundry",within a few hours,False,8,True,True,2021,100.0,100.0,False,Jamaica Estates,Queens,40.7195,-73.79068,Shared room,1,1.0,1.0,1.0,66.0,30,365,30,30,365,365,30.0,365.0,0,False
42523317,"Room in 3BR/2BA, near 74thSt / Jackson-Hts Station",within an hour,True,51,True,True,2017,99.0,78.0,False,Elmhurst,Queens,40.7414033231,-73.8892080959,Private room,2,1.0,1.0,1.0,44.0,30,365,30,30,365,365,30.0,365.0,8,False
979702194042540335,Renovation Apartment in Jackson Heights.,within an hour,False,150,True,True,2014,99.0,88.0,False,Jackson Heights,Queens,40.75048,-73.89541,Private room,2,1.0,1.0,1.0,38.0,30,730,30,30,730,730,30.0,730.0,1,False
54117644,Freehand New York - King room,within an hour,False,6,True,True,2017,94.0,99.0,True,Flatiron District,Manhattan,40.73971,-73.98522,Private room,2,1.0,1.0,1.0,298.0,1,365,1,3,28,28,1.0,28.0,70,True
45951781,Easy access to Manhattan : Nice Condition room,within a few hours,False,133,True,True,2018,91.0,80.0,False,Jackson Heights,Queens,40.7511,-73.87835,Private room,1,1.0,1.0,1.0,29.0,30,1125,30,30,1125,1125,30.0,1125.0,1,False
44799074,Sonder Battery Park | Accessible Studio Apartment,within an hour,False,75,True,True,2018,99.0,100.0,True,Financial District,Manhattan,40.70494,-74.0144,Entire home/apt,2,1.0,0.0,1.0,229.0,2,1125,1,2,1,1125,2.0,71.7,45,False
10230429,Great Space,within a few hours,True,2,True,False,2015,100.0,98.0,False,Springfield Gardens,Queens,40.67044,-73.75455,Entire home/apt,2,1.0,1.0,1.0,175.0,60,60,30,30,1125,1125,30.0,1125.0,315,False
564682824371493121,Tonel Paradise/Private Suite with HotTub/Near JFK,within an hour,True,2,True,True,2022,100.0,99.0,False,Rosedale,Queens,40.65577,-73.73272,Entire home/apt,8,2.0,3.0,6.0,258.0,2,1125,2,5,1125,1125,2.9,1125.0,82,False
889520045192057788,Grand Ave-Newtown station is 3min walk,within a few hours,False,130,True,True,2018,96.0,89.0,True,Elmhurst,Queens,40.7386928958,-73.8786827259,Private room,2,1.0,1.0,1.0,40.0,30,1125,30,30,1125,1125,30.0,1125.0,0,False
1040579615332825317,"Blueground | FiDi, doorman & gym, nr wall street",within an hour,False,803,True,True,2016,99.0,97.0,False,Financial District,Manhattan,40.7056,-74.00878,Entire home/apt,2,1.0,1.0,1.0,294.0,31,1125,31,365,1125,1125,36.4,1125.0,0,False
35545194,"The Parc Hotel, Queen Room",within a few hours,False,1,True,True,2019,73.0,85.0,True,Flushing,Queens,40.75845,-73.8347,Private room,2,1.0,1.0,1.0,144.0,1,29,1,2,999,999,1.0,999.0,39,True
